rosbagTimestamp,layout,dim,data_offset,data
1726255238437617882,,[],0,"[1.3933137655258179, 2.3526413440704346, -98.0877685546875]"
1726255238466023268,,[],0,"[1.3850741386413574, 2.235614538192749, -98.0374984741211]"
1726255238500700875,,[],0,"[1.3916432857513428, 2.1666369438171387, -98.06060791015625]"
1726255238537646373,,[],0,"[1.5471360683441162, 1.9962159395217896, -98.0593490600586]"
1726255238564941474,,[],0,"[1.7683627605438232, 1.779274344444275, -97.9538803100586]"
1726255238602216883,,[],0,"[1.7720527648925781, 1.6606543064117432, -97.96809387207031]"
1726255238637719350,,[],0,"[1.710878610610962, 1.4885798692703247, -97.98332977294922]"
1726255238665802469,,[],0,"[1.8339308500289917, 1.2474478483200073, -97.95169067382812]"
1726255238700509354,,[],0,"[1.918154001235962, 1.1232656240463257, -97.92472839355469]"
1726255238739340544,,[],0,"[2.1724493503570557, 0.8539309501647949, -97.87669372558594]"
1726255238765358506,,[],0,"[2.276165723800659, 0.5743823051452637, -97.82481384277344]"
1726255238800348959,,[],0,"[2.3887362480163574, 0.3747861385345459, -97.74649047851562]"
1726255238843797550,,[],0,"[2.603346109390259, -0.0034139417111873627, -97.62832641601562]"
1726255238867314551,,[],0,"[2.816906690597534, -0.4724902808666229, -97.60324096679688]"
1726255238901301783,,[],0,"[2.9071500301361084, -0.7104008197784424, -97.47651672363281]"
1726255238939225303,,[],0,"[3.444974660873413, -1.1012470722198486, -97.20235443115234]"
1726255238967144098,,[],0,"[3.679816722869873, -1.1428074836730957, -97.19439697265625]"
1726255238999865038,,[],0,"[3.857121706008911, -1.1220548152923584, -97.14691162109375]"
1726255239042193441,,[],0,"[3.9433913230895996, -1.1299909353256226, -97.17163848876953]"
1726255239068802277,,[],0,"[4.313169479370117, -0.975165069103241, -97.16262817382812]"
1726255239101048806,,[],0,"[4.27870512008667, -0.9629735350608826, -97.15061950683594]"
1726255239137504095,,[],0,"[4.235252857208252, -0.7894066572189331, -97.24857330322266]"
1726255239167682212,,[],0,"[4.100933074951172, -0.40596142411231995, -97.33382415771484]"
1726255239200344167,,[],0,"[4.2610931396484375, 0.04591323435306549, -97.44816589355469]"
1726255239237128916,,[],0,"[4.01021146774292, 0.6734195351600647, -97.6094741821289]"
1726255239268541829,,[],0,"[3.904589891433716, 1.5726326704025269, -97.66200256347656]"
1726255239302216171,,[],0,"[3.8021020889282227, 2.4081361293792725, -97.73548126220703]"
1726255239340421746,,[],0,"[3.5515482425689697, 3.5583672523498535, -97.83629608154297]"
1726255239375032592,,[],0,"[3.256413221359253, 4.803910732269287, -97.91754913330078]"
1726255239401214714,,[],0,"[2.939600944519043, 5.160702705383301, -97.98824310302734]"
1726255239438057380,,[],0,"[2.9292616844177246, 5.71586275100708, -98.08464050292969]"
