rosbagTimestamp,layout,dim,data_offset,data
1726109484505310413,,[],0,"[0.04553718864917755, 0.008132793940603733, -1.8623141050338745]"
1726109484537148892,,[],0,"[0.04037423059344292, 0.011987714096903801, -1.8671247959136963]"
1726109484570425610,,[],0,"[0.039428360760211945, 0.013082911260426044, -1.8694270849227905]"
1726109484604094724,,[],0,"[0.04012465476989746, 0.01383352093398571, -1.8714103698730469]"
1726109484639711041,,[],0,"[0.03382581099867821, 0.013145367614924908, -1.8754962682724]"
1726109484672110522,,[],0,"[0.03213614225387573, 0.014973721466958523, -1.8792051076889038]"
1726109484704637815,,[],0,"[0.03365163877606392, 0.01509756501764059, -1.881285309791565]"
1726109484738631796,,[],0,"[0.02677627094089985, 0.01349981315433979, -1.8842471837997437]"
1726109484770505210,,[],0,"[0.026656033471226692, 0.009974570944905281, -1.8867638111114502]"
1726109484804272718,,[],0,"[0.024976929649710655, 0.009920050390064716, -1.8875747919082642]"
1726109484838353947,,[],0,"[0.018568184226751328, 0.007556159980595112, -1.8876639604568481]"
1726109484878888272,,[],0,"[0.015201704576611519, 0.010485022328794003, -1.8906298875808716]"
1726109484906813470,,[],0,"[0.01116317417472601, 0.009640294127166271, -1.8908073902130127]"
1726109484938257224,,[],0,"[0.012732043862342834, 0.010285334661602974, -1.8914167881011963]"
1726109484972248173,,[],0,"[0.009951875545084476, 0.006886028219014406, -1.893428921699524]"
1726109485004024883,,[],0,"[0.010095027275383472, 0.00779110798612237, -1.8926934003829956]"
1726109485038018756,,[],0,"[0.013369724154472351, 0.010510694235563278, -1.8952351808547974]"
1726109485070992609,,[],0,"[0.01362072117626667, 0.01530516892671585, -1.8977266550064087]"
1726109485104024589,,[],0,"[0.013276629149913788, 0.01830674149096012, -1.8987890481948853]"
1726109485138758521,,[],0,"[0.01101746130734682, 0.02605360746383667, -1.9019523859024048]"
1726109485171541331,,[],0,"[0.006944139488041401, 0.03565176576375961, -1.9031926393508911]"
1726109485206196360,,[],0,"[0.005291030742228031, 0.04140849411487579, -1.9035345315933228]"
1726109485237487933,,[],0,"[0.0013228399911895394, 0.05677837133407593, -1.9045069217681885]"
1726109485270717297,,[],0,"[-0.004475847352296114, 0.0747504010796547, -1.9044175148010254]"
1726109485304028948,,[],0,"[-0.006310530938208103, 0.08617057651281357, -1.905043363571167]"
1726109485337321245,,[],0,"[-0.010567355901002884, 0.11090070754289627, -1.9064204692840576]"
1726109485370295767,,[],0,"[-0.012419118545949459, 0.13454720377922058, -1.9065195322036743]"
1726109485404982417,,[],0,"[-0.012922684662044048, 0.14733070135116577, -1.906815528869629]"
1726109485438110708,,[],0,"[-0.011706577613949776, 0.17039714753627777, -1.9076215028762817]"
1726109485471250517,,[],0,"[-0.006271386053413153, 0.188619926571846, -1.9078642129898071]"
1726109485505058418,,[],0,"[-0.0022929031401872635, 0.19571252167224884, -1.9076098203659058]"
