rosbagTimestamp,data
1749500927764201752,-365.2578430175781
1749500927828668064,-457.1010437011719
1749500927896107143,-515.2130737304688
1749500927962677623,-485.9092712402344
1749500928031160039,-488.3722839355469
1749500928095427798,-417.0279541015625
1749500928154578101,-341.3929138183594
1749500928223279221,-203.02879333496094
1749500928290375148,-124.74396514892578
1749500928362171558,-12.532379150390625
1749500928430142930,109.05494689941406
1749500928494856641,152.59991455078125
1749500928563007340,222.400390625
1749500928626346698,274.2738952636719
1749500928695349192,290.2091369628906
1749500928763314265,340.33367919921875
1749500928828466500,320.34747314453125
1749500928894723659,301.736083984375
1749500928963690222,299.33685302734375
1749500929028320337,286.9022216796875
1749500929094792908,247.08969116210938
1749500929166150991,250.92950439453125
1749500929223745166,184.48959350585938
1749500929294856699,179.65167236328125
1749500929360164036,166.8812713623047
1749500929431090624,147.16665649414062
1749500929495169585,122.54918670654297
1749500929561595529,127.79960632324219
1749500929629271329,105.57041931152344
1749500929695044077,61.836326599121094
1749500929764508438,78.1702880859375
1749500929830218556,57.14350509643555
1749500929898731885,75.100830078125
1749500929966814760,73.07376861572266
1749500930027330597,78.83683013916016
1749500930091679704,128.4955291748047
1749500930161776777,121.1627426147461
1749500930231260774,138.65370178222656
1749500930298836357,143.31590270996094
1749500930363800607,171.1412353515625
1749500930430696348,186.745849609375
1749500930494344051,176.038330078125
1749500930563265278,215.53204345703125
1749500930630301629,202.00941467285156
1749500930692806053,202.12405395507812
1749500930762984933,166.8884735107422
1749500930830592015,195.71871948242188
1749500930898942352,197.6876678466797
1749500930964383498,181.59866333007812
1749500931029138380,208.1049346923828
1749500931095133344,231.49513244628906
1749500931171149683,190.8274383544922
1749500931234579075,225.22422790527344
1749500931299786464,246.43606567382812
1749500931363427143,181.3689727783203
1749500931430159606,218.98870849609375
1749500931497629940,198.86622619628906
1749500931563330894,169.929931640625
1749500931631129916,178.29818725585938
1749500931695460147,184.8496551513672
1749500931764404124,153.76309204101562
1749500931829413362,173.8065948486328
1749500931896307119,145.48960876464844
1749500931966347761,149.18516540527344
1749500932030181320,156.0483856201172
1749500932096337832,127.74959564208984
1749500932162616316,153.52674865722656
1749500932229188218,178.8353729248047
1749500932296652948,137.75689697265625
1749500932363646824,182.34132385253906
