x,vx,y,vy,z,vz,phi,dphi,theta,dtheta,psi,dpsi,wx,wy,wz
2.654509519672481471e-02,3.040856320167548699e-01,4.979447454666590528e-02,4.058449610992759804e-01,2.202639748723985935e+00,5.949618746261458035e-01,1.229635480613675176e-02,1.060926059330519894e-01,1.704897152219015874e-02,-1.041506461407677997e-01,-2.453160551128056796e-02,-2.086658701490065604e-01,8.925846621790370916e-01,9.123930890191003229e-01,9.868277565464330658e-01
2.946003154535689963e-02,3.158452621745895805e-01,5.371036114711525561e-02,4.127189519611923485e-01,2.210233864605793297e+00,5.315849109796849659e-01,1.540143452852789710e-02,1.080708704604933373e-01,1.539599897420696091e-02,-1.072879620132823203e-01,-2.662899954124902518e-02,-2.128800200951734833e-01,8.796526147131066287e-01,9.028978591405640852e-01,9.793776410600302240e-01
3.253196516166973612e-02,3.298340285833438745e-01,5.780720140552643438e-02,4.265337462724085871e-01,2.216553338017138053e+00,4.652336842097444247e-01,1.417636173417762165e-02,1.109042348656035654e-01,1.544902596417971515e-02,-1.102665462549618919e-01,-2.868027093033784572e-02,-2.208918805146643238e-01,8.651432970432609837e-01,8.889550452282893866e-01,9.746362338030207795e-01
3.558410412059878625e-02,3.352027685367536258e-01,6.190724719470097615e-02,4.333020651098771214e-01,2.221047334800237749e+00,3.851392763335146907e-01,1.652013964609136756e-02,1.141021879273514394e-01,1.147110503317642916e-02,-1.125808403821574044e-01,-3.098918803944644695e-02,-2.276561287630047559e-01,8.549789727113465965e-01,8.789436633551027667e-01,9.773869517898062798e-01
3.883794873010140702e-02,3.488377735808522173e-01,6.607993690134003617e-02,4.405462701147898619e-01,2.224988453348940798e+00,3.173323639256055984e-01,1.813561661127899988e-02,1.173502644010332857e-01,1.235560454609107260e-02,-1.172186414294853207e-01,-3.322208261248980193e-02,-2.362694503248432831e-01,8.394837762058260378e-01,8.673707416728316799e-01,9.721813788709564585e-01
4.212365123937862610e-02,3.552355310682230871e-01,7.051319931178938460e-02,4.567326955200931016e-01,2.228254603211858864e+00,2.509069035923280899e-01,1.434057726709313252e-02,1.229957765763763644e-01,9.195558955080019789e-03,-1.193244254055415565e-01,-3.564350596490632739e-02,-2.458757648948296515e-01,8.289806308818350455e-01,8.526286512585498079e-01,9.684861244244395984e-01
4.547266708690339554e-02,3.602877549297154869e-01,7.477646220468892047e-02,4.521028249573085800e-01,2.231831259804102796e+00,1.917681967914599828e-01,2.303293529679407634e-02,1.267619009111223272e-01,5.555912594325486051e-03,-1.231203548943819170e-01,-3.822056657816597092e-02,-2.524944653411890783e-01,8.188354608776833299e-01,8.489623580649123813e-01,9.626368305824094529e-01
4.895067374706753294e-02,3.704223959833664592e-01,7.909731812212117408e-02,4.559285786079756431e-01,2.233683419813969007e+00,1.256414470160062691e-01,2.614178889519137849e-02,1.313325655985655704e-01,5.424208836529688209e-03,-1.284358169980123476e-01,-4.072302848158879107e-02,-2.594033130253845520e-01,8.059913464416614826e-01,8.390879247791415141e-01,9.618539073504484005e-01
5.248754371475790326e-02,3.754661337411999700e-01,8.390746762229053801e-02,4.808976670689553146e-01,2.235564875291665921e+00,7.386969616500985159e-02,1.536557943777648247e-02,1.353425027242987078e-01,1.496439857459621117e-03,-1.319034615260448462e-01,-4.354954419697120577e-02,-2.690441301132417418e-01,7.981756691098715883e-01,8.222292922582927766e-01,9.553843069108532982e-01
5.618019727293019350e-02,3.859408891555409782e-01,8.867380186222210969e-02,4.875830021501683098e-01,2.237039053886329398e+00,2.161238638479356586e-02,1.625693529157675593e-02,1.405010522707542675e-01,1.877645258976236775e-03,-1.344403323190228039e-01,-4.613544682853794321e-02,-2.801103002162202982e-01,7.871873805754471265e-01,8.160863749196469730e-01,9.512950721620359040e-01
