rosbagTimestamp,data
1749510514850928734,-197.69253540039062
1749510514915665471,-178.15000915527344
1749510514982889964,-144.85044860839844
1749510515047771260,-109.60187530517578
1749510515115884989,-117.51801300048828
1749510515185013776,-99.65935516357422
1749510515252574624,-112.20844268798828
1749510515317658482,-109.22582244873047
1749510515384932352,-115.55154418945312
1749510515451341872,-106.23197937011719
1749510515516580933,-100.6124267578125
1749510515586804807,-96.36864471435547
1749510515647869431,-72.03897857666016
1749510515716890127,-66.65135192871094
1749510515790700331,-38.01274108886719
1749510515851541879,-24.006855010986328
1749510515917108282,-20.374006271362305
1749510515982865861,-9.429657936096191
1749510516050343763,8.190125465393066
1749510516118439399,33.13526153564453
1749510516188243808,27.76357650756836
1749510516246295319,19.491071701049805
1749510516316777231,-4.868843078613281
1749510516383537063,-36.93960189819336
1749510516451924619,-60.40303421020508
1749510516514866355,-74.61392974853516
1749510516583696543,-79.66548919677734
1749510516651593059,-80.37654876708984
1749510516716166597,-87.42811584472656
1749510516788178302,-95.66083526611328
1749510516850995659,-120.26532745361328
1749510516917258167,-143.8970489501953
1749510516985751691,-165.59243774414062
1749510517047655937,-174.68707275390625
1749510517109059529,-165.5595703125
1749510517185209084,-176.6233673095703
1749510517252553537,-178.24966430664062
1749510517319113977,-187.42930603027344
1749510517386032155,-190.85321044921875
1749510517450801721,-228.42002868652344
1749510517517738212,-241.69493103027344
1749510517584542102,-279.6473388671875
1749510517654113164,-303.10406494140625
1749510517719623303,-294.2848205566406
1749510517787541813,-353.72967529296875
1749510517851494746,-373.2332763671875
1749510517921798357,-368.6195068359375
1749510517983251302,-366.7657775878906
1749510518051399377,-333.4563903808594
1749510518121724990,-311.9163513183594
1749510518185190154,-291.1391296386719
1749510518254412297,-259.5522155761719
1749510518318078953,-249.5926055908203
1749510518387537935,-281.525146484375
1749510518452333104,-259.89202880859375
1749510518519792732,-255.21047973632812
1749510518590646055,-289.18731689453125
1749510518653313681,-328.3792724609375
1749510518720921565,-377.4615783691406
1749510518781250817,-399.0150146484375
1749510518853434392,-379.5726623535156
1749510518919247334,-425.72711181640625
1749510518989120783,-373.8658447265625
1749510519052805995,-382.5440673828125
1749510519119078901,-428.92852783203125
1749510519184432984,-457.01849365234375
1749510519252966799,-400.9543151855469
1749510519319109520,-441.4861755371094
1749510519385921862,-402.95751953125
1749510519453273055,-458.8562316894531
1749510519520444063,-431.0479431152344
1749510519588470557,-473.802490234375
1749510519664164506,-486.79376220703125
