t_sim,states_x,states_y,states_z,states_v_x,states_v_y,states_v_z,states_phi,states_theta,states_psi,states_omega_x,states_omega_y,states_omega_z,states_wx,states_wy,controls_PWM1,controls_PWM2,controls_PWM3,controls_PWM4,outputs_x,outputs_y,outputs_z,outputs_v_x,outputs_v_y,outputs_v_z,outputs_phi,outputs_theta,outputs_psi,outputs_omega_x,outputs_omega_y,outputs_omega_z,outputs_wx,outputs_wy,outputs_Ax,outputs_Ay,outputs_Az,outputs_Axt,outputs_Ayt,outputs_rx,outputs_ry,outputs_Wax,outputs_Way
74.04,-3.2456456549506885,0.6863863078239862,2.0090731671050763,-0.08485069876619697,0.7886024698790157,0.012991475968406854,-0.0052586439094705825,0.047760550417900574,32.46423416280444,0.10035636276423937,0.029558467831664152,0.41677186132419386,9.999999999927242e-13,1.0000000000221343e-12,5.345970917985056,5.297984080287732,5.367191516190007,5.278659822737826,-3.2456456549506885,0.6863863078239862,2.0090731671050763,-0.08485069876619697,0.7886024698790157,0.012991475968406854,-0.0052586439094705825,0.047760550417900574,32.46423416280444,0.10035636276423937,0.029558467831664152,0.41677186132419386,9.999999999927242e-13,1.0000000000221343e-12,0.8043273521486525,0.059985432460960504,0.10789625976516358,0.4770196787963642,0.024768341649996486,-0.04223375243643339,0.392520532746616,-0.08485069876756259,0.7886024698793833
74.07000000000001,-3.2673155701107213,0.6961770799981796,2.0095114052152825,-0.06053981566901297,0.7897158095217484,0.01622239740623488,-0.0016334884798500534,0.04863787876155122,32.47675035045363,0.10111200876293676,0.026056150955573173,0.41687025531454874,9.999999999927288e-13,1.0000000000221283e-12,5.380155225660247,5.250701918628344,5.328368056520623,5.312077857517342,-3.2673155701107213,0.6961770799981796,2.0095114052152825,-0.06053981566901297,0.7897158095217484,0.01622239740623488,-0.0016334884798500534,0.04863787876155122,32.47675035045363,0.10111200876293676,0.026056150955573173,0.41687025531454874,9.999999999927288e-13,1.0000000000221283e-12,0.8135213797762373,0.013944447784667609,0.0988680510827698,0.48446140423563266,-0.011281373989550656,-0.030126634520159505,0.39298896610997075,-0.06053981567037388,0.7897158095221329
74.10000000000001,-3.288763761069686,0.7063435675353646,2.010042500185453,-0.036014280451017774,0.7894441187865157,0.019181673161552844,0.0019710568583430443,0.049360659382389704,32.48927823039522,0.09827708329488476,0.02227291577338039,0.4173128078113654,9.999999999927567e-13,1.0000000000220996e-12,5.409507553081178,5.2071812483594915,5.293951846024714,5.3431912938155754,-3.288763761069686,0.7063435675353646,2.010042500185453,-0.036014280451017774,0.7894441187865157,0.019181673161552844,0.0019710568583430443,0.049360659382389704,32.48927823039522,0.09827708329488476,0.02227291577338039,0.4173128078113654,9.999999999927567e-13,1.0000000000220996e-12,0.8208640051285108,-0.0319399952962868,0.09026900728861599,0.4903676072662153,-0.04701717387981945,-0.01791717361582901,0.39274996360210246,-0.03601428045237376,0.7894441187869173
74.13000000000001,-3.3099642145376085,0.7168778613215374,2.010658497493324,-0.011329479186899718,0.7878098054009751,0.021882361317494006,0.0054513034034150976,0.04992182152014494,32.50182916051197,0.0922134531828758,0.0182460431874847,0.4182418299606199,9.999999999929108e-13,1.0000000000219423e-12,5.432793475016071,5.1698663167441525,5.265325932735796,5.369788792795528,-3.3099642145376085,0.7168778613215374,2.010658497493324,-0.011329479186899718,0.7878098054009751,0.021882361317494006,0.0054513034034150976,0.04992182152014494,32.50182916051197,0.0922134531828758,0.0182460431874847,0.4182418299606199,9.999999999929108e-13,1.0000000000219423e-12,0.8263837805720258,-0.07664882975866133,0.08229117444773279,0.49468425023861484,-0.08141899496789488,-0.005634710817885837,0.391816813438549,-0.011329479188250557,0.7878098054013938
74.16000000000001,-3.3308924190288454,0.7277720561134238,2.011351922517196,0.01346047800064987,0.7848637761886963,0.02434345265619173,0.008717059171531389,0.05031656805042852,32.514417313937365,0.08345388566243708,0.014017831180114425,0.4197082162741336,9.999999999929176e-13,1.0000000000219255e-12,5.4491713985720605,5.14065352395641,5.2434727693701415,5.389815080343349,-3.3308924190288454,0.7277720561134238,2.011351922517196,0.01346047800064987,0.7848637761886963,0.02434345265619173,0.008717059171531389,0.05031656805042852,32.514417313937365,0.08345388566243708,0.014017831180114425,0.4197082162741336,9.999999999929176e-13,1.0000000000219255e-12,0.8300649516086636,-0.11931081891446858,0.07495125597006115,0.4973711475118805,-0.11360509294410527,0.006692254025742127,0.3902170313420058,0.013460477999304409,0.7848637761891318
74.19000000000001,-3.3515260744723756,0.7390185273167088,2.0121158790116827,0.0383012212861499,0.7806804073784616,0.026584550534718948,0.011696110769778688,0.050542180076179465,32.527056962646455,0.07266687620451263,0.00962478273412209,0.4216674075591601,9.999999999930206e-13,1.0000000000219439e-12,5.458182080345096,5.120714960120795,5.229105063848886,5.401736621807515,-3.3515260744723756,0.7390185273167088,2.0121158790116827,0.0383012212861499,0.7806804073784616,0.026584550534718948,0.011696110769778688,0.050542180076179465,32.527056962646455,0.07266687620451263,0.00962478273412209,0.4216674075591601,9.999999999930206e-13,1.0000000000219439e-12,0.8318474321998666,-0.15923277872016312,0.06823067446281103,0.4984065404844257,-0.14287372415860425,0.01903529597160319,0.3879897850425586,0.03830122128481005,0.7806804073789141
74.22,-3.3718456681809825,0.7506101136940104,2.0129440509061154,0.06313690833160121,0.7753517651342604,0.028624739932222563,0.014337514539445543,0.05059752658122864,32.53976008502867,0.06061208034274683,0.005088724822748948,0.4240060650903459,9.999999999932026e-13,1.000000000021949e-12,5.459785543243818,5.110496422746582,5.222613207599172,5.404710499601015,-3.3718456681809825,0.7506101136940104,2.0129440509061154,0.06313690833160121,0.7753517651342604,0.028624739932222563,0.014337514539445543,0.05059752658122864,32.53976008502867,0.06061208034274683,0.005088724822748948,0.4240060650903459,9.999999999932026e-13,1.000000000021949e-12,0.831646165717637,-0.19592117051783067,0.06214113250475464,0.4977854837246502,-0.16873488911320006,0.03136545613534588,0.38518296859032924,0.06313690833026722,0.7753517651347299
74.25,-3.391834882782687,0.7625402012916349,2.013830699706393,0.08790958427604886,0.7689813117581137,0.030483423688061874,0.01661349370957602,0.05048237520213794,32.55253480407478,0.048089630581231356,0.00041325175514807044,0.42657238484749227,9.999999999929938e-13,1.0000000000221856e-12,5.4542792855452555,5.109715379963078,5.223974523799709,5.3986672816528385,-3.391834882782687,0.7625402012916349,2.013830699706393,0.08790958427604886,0.7689813117581137,0.030483423688061874,0.01661349370957602,0.05048237520213794,32.55253480407478,0.048089630581231356,0.00041325175514807044,0.42657238484749227,9.999999999929938e-13,1.0000000000221856e-12,0.8293662696087007,-0.22909384651053644,0.056677232982284116,0.4955106148158802,-0.19092762403895988,0.0436529169452356,0.3818500293347537,0.08790958427472098,0.7689813117586002
74.28,-3.411480816300816,0.7748027046246282,2.014770665706478,0.11255896933610507,0.7616774530265279,0.032179752094994005,0.018519824975318188,0.0501966829365788,32.56538476043402,0.03588722334547964,-0.004412442895061152,0.42920981920471957,9.999999999926929e-13,1.0000000000224861e-12,5.442252512021795,5.117499365602639,5.232544774549104,5.384178543239342,-3.411480816300816,0.7748027046246282,2.014770665706478,0.11255896933610507,0.7616774530265279,0.032179752094994005,0.018519824975318188,0.0501966829365788,32.56538476043402,0.03588722334547964,-0.004412442895061152,0.42920981920471957,9.999999999926929e-13,1.0000000000224861e-12,0.8249165222429593,-0.2586803419673077,0.051697187731474824,0.49157912993435293,-0.20942049691038062,0.05586688909659916,0.3780467256105529,0.11255896933478354,0.7616774530270315
74.31,-3.430774017267213,0.7873919491700412,2.0157592986598636,0.13702241675833923,0.7535472690664702,0.03372849483605829,0.020074709965920944,0.04974009018320807,32.57830918471403,0.024729688003032525,-0.009402207634853102,0.43177129669004755,9.999999999927113e-13,1.00000000002247e-12,5.424537390665202,5.13258483471784,5.246890457918891,5.36224715750098,-3.430774017267213,0.7873919491700412,2.0157592986598636,0.13702241675833923,0.7535472690664702,0.03372849483605829,0.020074709965920944,0.04974009018320807,32.57830918471403,0.024729688003032525,-0.009402207634853102,0.43177129669004755,9.999999999927113e-13,1.00000000002247e-12,0.8182092144285427,-0.28480926098529785,0.04681481341778667,0.48597271469386943,-0.22439653042710297,0.06797558460945004,0.3738280009758361,0.13702241675702434,0.7535472690669908
74.34,-3.4497083423229786,0.8003024614618701,2.0167922162446885,0.16123463010320258,0.7446909068855412,0.03513269643344468,0.021316240670395295,0.049111841009648514,32.59130302947593,0.015235263335175761,-0.014555721274948603,0.4341097200722653,9.999999999924275e-13,1.0000000000224522e-12,5.401893045659328,5.1532806063433165,5.265045933073425,5.334396647812594,-3.4497083423229786,0.8003024614618701,2.0167922162446885,0.16123463010320258,0.7446909068855412,0.03513269643344468,0.021316240670395295,0.049111841009648514,32.59130302947593,0.015235263335175761,-0.014555721274948603,0.4341097200722653,9.999999999924275e-13,1.0000000000224522e-12,0.8091507473582922,-0.3077822931759585,0.041396036425282313,0.47865759861597673,-0.23622651064066819,0.07994607912729106,0.36924523056330116,0.16123463010189454,0.7446909068860789
74.37,-3.4682806547280465,0.8135286862206589,2.017864840793443,0.18512756815966508,0.7351968805294625,0.03637624441808289,0.02229872754940542,0.04831127890070642,32.60435728676037,0.007882255437170296,-0.01983822044635481,0.43609991266179665,9.999999999922908e-13,1.0000000000224716e-12,5.374793079727896,5.17751446388896,5.284883603276097,5.30274895445832,-3.4682806547280465,0.8135286862206589,2.017864840793443,0.18512756815966508,0.7351968805294625,0.03637624441808289,0.02229872754940542,0.04831127890070642,32.60435728676037,0.007882255437170296,-0.01983822044635481,0.43609991266179665,9.999999999922908e-13,1.0000000000224716e-12,0.7976686584567865,-0.3280456316362384,0.0346907167711397,0.4695974799387306,-0.24543508054333407,0.09174428555228267,0.3643439667844038,0.18512756815836418,0.7351968805300172
