rosbagTimestamp,data
1748401233224785345,-400.7143859863281
1748401233294114188,-244.02906799316406
1748401233350725709,-228.03762817382812
1748401233426281229,-213.89564514160156
1748401233493456145,-163.1621551513672
1748401233560345263,-128.7310028076172
1748401233626123464,-138.38394165039062
1748401233688307152,-224.000244140625
1748401233753124459,-285.1498107910156
1748401233827784437,-270.4952392578125
1748401233883900154,-342.19329833984375
1748401233957967720,-397.6518249511719
1748401234027390386,-415.0203857421875
1748401234094270388,-421.8604736328125
1748401234151866509,-419.9434509277344
1748401234226711916,-455.6697082519531
1748401234297107087,-456.2705993652344
1748401234356480984,-397.93994140625
1748401234426380521,-425.00927734375
1748401234490625135,-383.2482604980469
1748401234559684319,-369.0372009277344
1748401234627337703,-337.2424621582031
1748401234693678299,-286.9583740234375
1748401234762243444,-277.6216125488281
1748401234827849622,-230.13450622558594
1748401234894250014,-227.38343811035156
1748401234962328260,-212.04339599609375
1748401235027169040,-211.06556701660156
1748401235095079941,-176.02197265625
1748401235160848980,-173.68807983398438
1748401235220630504,-187.78749084472656
1748401235292428388,-187.98324584960938
1748401235357959452,-170.70347595214844
1748401235418826764,-179.35006713867188
1748401235495313197,-199.20033264160156
1748401235560201485,-168.0425567626953
1748401235626574988,-211.90191650390625
1748401235696908293,-225.50914001464844
1748401235761233588,-246.79273986816406
1748401235828767529,-240.0521697998047
1748401235891027281,-272.1965026855469
1748401235961584687,-272.3496398925781
1748401236028337529,-279.3431091308594
1748401236095366002,-263.7559814453125
1748401236162225222,-268.6727600097656
1748401236230064709,-251.87057495117188
1748401236294889331,-262.75506591796875
1748401236363794422,-245.26510620117188
1748401236420500077,-226.68136596679688
1748401236494719014,-223.76510620117188
1748401236563290175,-204.3857879638672
1748401236628626487,-188.0499267578125
1748401236693054840,-188.98350524902344
1748401236762114660,-207.15931701660156
1748401236826724354,-227.97084045410156
1748401236889686679,-248.73406982421875
1748401236953343115,-245.2794189453125
1748401237030148039,-258.47882080078125
1748401237095894332,-305.2806701660156
1748401237162260215,-305.4408874511719
1748401237226848704,-337.29278564453125
1748401237293452111,-315.0972595214844
1748401237364139465,-313.3070983886719
1748401237429696246,-284.75494384765625
